"URL","Status","Título","Severidad","Tipo","Mensaje"
"https://www.furgocasa.com/en/motorhome-rental-europe-from-spain","200","Motorhome Rental Europe | Explore France, Italy, Portugal","info","missing_dimensions","11 imgs sin width/height (riesgo de CLS)"
"https://www.furgocasa.com/de/wohnmobil-miete-europa-von-spanien","200","Wohnmobil-Miete Europa | Frankreich, Italien, Portugal","info","long_meta_desc","Meta description larga (183 chars)"
"https://www.furgocasa.com/de/wohnmobil-miete-europa-von-spanien","200","Wohnmobil-Miete Europa | Frankreich, Italien, Portugal","info","missing_dimensions","11 imgs sin width/height (riesgo de CLS)"
"https://www.furgocasa.com/fr/camping-car-europe-depuis-espagne","200","Location Camping-Car Europe | France, Italie, Portugal","info","long_meta_desc","Meta description larga (173 chars)"
"https://www.furgocasa.com/fr/camping-car-europe-depuis-espagne","200","Location Camping-Car Europe | France, Italie, Portugal","info","missing_dimensions","11 imgs sin width/height (riesgo de CLS)"
"https://www.furgocasa.com/en/motorhome-rental-morocco-from-spain","200","Motorhome Rental Morocco | Travel to Morocco from Spain","info","long_meta_desc","Meta description larga (175 chars)"
"https://www.furgocasa.com/en/motorhome-rental-morocco-from-spain","200","Motorhome Rental Morocco | Travel to Morocco from Spain","info","missing_dimensions","11 imgs sin width/height (riesgo de CLS)"
"https://www.furgocasa.com/es/alquiler-motorhome-espana","200","Alquiler Motorhome España | Campers y Autocaravanas desde Murcia","info","long_meta_desc","Meta description larga (169 chars)"
"https://www.furgocasa.com/es/alquiler-motorhome-espana","200","Alquiler Motorhome España | Campers y Autocaravanas desde Murcia","info","missing_dimensions","16 imgs sin width/height (riesgo de CLS)"
"https://www.furgocasa.com/fr/location-camping-car-espagne","308","","warning","redirect","308 → /fr/location-camping-car/espagne"
"https://www.furgocasa.com/fr/camping-car-maroc-depuis-espagne","200","Location Camping-Car Maroc | Voyage au Maroc depuis l'Espagne","info","long_meta_desc","Meta description larga (195 chars)"
"https://www.furgocasa.com/fr/camping-car-maroc-depuis-espagne","200","Location Camping-Car Maroc | Voyage au Maroc depuis l'Espagne","info","missing_dimensions","11 imgs sin width/height (riesgo de CLS)"
"https://www.furgocasa.com/de/wohnmobil-miete-marokko-von-spanien","200","Wohnmobil Miete Marokko | Reise nach Marokko von Spanien","info","long_meta_desc","Meta description larga (217 chars)"
"https://www.furgocasa.com/de/wohnmobil-miete-marokko-von-spanien","200","Wohnmobil Miete Marokko | Reise nach Marokko von Spanien","info","missing_dimensions","11 imgs sin width/height (riesgo de CLS)"
"https://www.furgocasa.com/en/motorhome-rental-spain","200","Motorhome Rental Spain | Hire Campervans from Murcia","info","long_meta_desc","Meta description larga (162 chars)"
"https://www.furgocasa.com/en/motorhome-rental-spain","200","Motorhome Rental Spain | Hire Campervans from Murcia","info","missing_dimensions","16 imgs sin width/height (riesgo de CLS)"
"https://www.furgocasa.com/es/contacto","200","Contacto y Reservas - Alquiler de Autocaravanas","info","long_meta_desc","Meta description larga (169 chars)"
"https://www.furgocasa.com/es/contacto","200","Contacto y Reservas - Alquiler de Autocaravanas","warning","thin_content","Thin content (52 palabras)"
